"","pmp1","pmp2","pmp3","n","const","sd"
"result.1",0.734085965323832,3.31968031728785e-06,0.265910714995851,100,1,0.25
"result.2",0.822354306981574,0.000118250450014163,0.177527442568412,100,1,0.25
"result.3",0.739628306391352,0.0694379163174059,0.190933777291242,100,1,0.25
"result.4",0.479307111780867,4.28075114935556e-06,0.520688607467984,100,1,0.25
"result.5",0.580847283190749,0.293220529900509,0.125932186908742,100,1,0.25
"result.6",0.761820347701496,0.00711843192152383,0.23106122037698,100,1,0.25
"result.7",0.67387083010918,3.07455528590306e-05,0.326098424337961,100,1,0.25
"result.8",0.236117378295525,0.27705801165516,0.486824610049315,100,1,0.25
"result.9",0.656858307009084,0.00465290568635225,0.338488787304563,100,1,0.25
"result.10",0.558227937143372,0.000220897422500864,0.441551165434127,100,1,0.25
"result.11",0.860171788445384,0.000230698006203427,0.139597513548413,100,1,0.25
"result.12",0.701676808538835,3.36848444056019e-05,0.298289506616759,100,1,0.25
"result.13",0.4651762670291,8.62014599456072e-06,0.534815112824905,100,1,0.25
"result.14",0.892155544439356,0.00304275001142053,0.104801705549224,100,1,0.25
"result.15",0.205486145603679,0.000436594851401555,0.79407725954492,100,1,0.25
"result.16",0.773882305276649,0.000701225223975038,0.225416469499376,100,1,0.25
"result.17",0.0847953846684676,0.000551607696925081,0.914653007634607,100,1,0.25
"result.18",0.677465068655209,0.00101555145552804,0.321519379889263,100,1,0.25
"result.19",0.8946032808536,0.00830174280152012,0.0970949763448798,100,1,0.25
"result.20",0.801126386932145,2.65136497064614e-09,0.19887361041649,100,1,0.25
"result.21",0.811778822577455,3.52621105818599e-08,0.188221142160434,100,1,0.25
"result.22",0.729971729809121,0.00160303563761114,0.268425234553268,100,1,0.25
"result.23",0.326096631821154,0.000150167829057891,0.673753200349788,100,1,0.25
"result.24",0.771675996191961,0.00132919073731163,0.226994813070728,100,1,0.25
"result.25",0.289312344217481,0.00368640126176657,0.707001254520752,100,1,0.25
"result.26",0.862785247712877,4.02294570015759e-07,0.137214349992553,100,1,0.25
"result.27",0.111376609070828,0.0923820424404808,0.796241348488692,100,1,0.25
"result.28",0.656732380823381,0.0305233381890984,0.312744280987521,100,1,0.25
"result.29",0.687591381460524,0.00437946313344234,0.308029155406034,100,1,0.25
"result.30",0.579311651940832,1.53832427223747e-05,0.420672964816446,100,1,0.25
"result.31",0.634430366231992,6.35704487487922e-06,0.365563276723133,100,1,0.25
"result.32",0.500948966825996,0.000698547076468061,0.498352486097536,100,1,0.25
"result.33",0.794966709248293,1.23627358815565e-05,0.205020928015825,100,1,0.25
"result.34",0.357499595278827,0.542442979423691,0.100057425297481,100,1,0.25
"result.35",0.527991306646774,0.184903562749401,0.287105130603825,100,1,0.25
"result.36",0.680457436757565,0.0264585707130592,0.293083992529376,100,1,0.25
"result.37",0.905626170665121,1.30098383207227e-05,0.0943608194965588,100,1,0.25
"result.38",0.763607368515353,0.0759444475012161,0.160448183983431,100,1,0.25
"result.39",0.610608683312993,0.00234080344253883,0.387050513244468,100,1,0.25
"result.40",0.403106332843655,1.84892308847376e-05,0.59687517792546,100,1,0.25
"result.41",0.0607469754469848,0.00261075492839591,0.936642269624619,100,1,0.25
"result.42",0.490777095191319,5.56596782801377e-08,0.509222849149003,100,1,0.25
"result.43",0.13710268155719,0.232776589383335,0.630120729059475,100,1,0.25
"result.44",0.898979817265899,5.34627731904942e-06,0.101014836456782,100,1,0.25
"result.45",0.230595543798585,0.39953084205014,0.369873614151275,100,1,0.25
"result.46",0.0653696785532279,0.0661797267576818,0.86845059468909,100,1,0.25
"result.47",0.697101440084415,0.0352202221292806,0.267678337786304,100,1,0.25
"result.48",0.913453466411031,1.23783205411495e-05,0.0865341552684275,100,1,0.25
"result.49",0.223402981493031,0.633225842917978,0.143371175588991,100,1,0.25
"result.50",0.204599976047344,0.00960195149098688,0.78579807246167,100,1,0.25
"result.51",0.366780803947306,1.48447529667438e-05,0.633204351299727,100,1,0.25
"result.52",0.842335367197743,0.00131197086424618,0.156352661938011,100,1,0.25
"result.53",0.439833398100214,0.135052408827215,0.425114193072571,100,1,0.25
"result.54",0.789697439299275,0.00480764165711025,0.205494919043615,100,1,0.25
"result.55",0.841805942383528,1.03143864884089e-09,0.158194056585033,100,1,0.25
"result.56",0.367727188532398,0.00158671377537983,0.630686097692222,100,1,0.25
"result.57",0.0432681937476021,0.0397979370207474,0.916933869231651,100,1,0.25
"result.58",0.599149223930132,0.0522533620517931,0.348597414018075,100,1,0.25
"result.59",0.808683467243486,0.00401900668144264,0.187297526075072,100,1,0.25
"result.60",0.86812575864972,0.000669685741328029,0.131204555608952,100,1,0.25
"result.61",0.482332018967334,0.000184691907171584,0.517483289125494,100,1,0.25
"result.62",0.561256239982116,0.000372742167892954,0.438371017849991,100,1,0.25
"result.63",0.659136732611646,0.000202294883450316,0.340660972504904,100,1,0.25
"result.64",0.555139034305845,0.163599079559377,0.281261886134778,100,1,0.25
"result.65",0.358821231212098,0.00228110216259564,0.638897666625307,100,1,0.25
"result.66",0.798329826692204,8.22174426308736e-05,0.201587955865165,100,1,0.25
"result.67",0.346100229751562,2.3371783422137e-05,0.653876398465016,100,1,0.25
"result.68",0.704422531310917,0.00021846071108086,0.295359007978002,100,1,0.25
"result.69",0.937771186455149,2.09708434668289e-06,0.0622267164605039,100,1,0.25
"result.70",0.839277404074707,0.000300532846785682,0.160422063078507,100,1,0.25
